Chat with Adeeb,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna menu select Karen.

Mr/Mis {name} Agar to ap Adeeb bhai ko Hire karna chahte hain usse pehle main aapko thodi si information deta jaaun ki ap inki main website per jakar complete details or projects check kar sakte hain or vahin per hi aapko inki CV bhi mil jayegi jisse apko inke kam ke clarification ho jayegi. Jiska link main apko provide kar deta hun.```

👇👇👇👇👇👇👇👇
www.AdeebTechLab.com

More info
📞: 051 613 2233
💬: 030 92 333 121
📧: info@AdeebTechLab.com
🌐: www.AdeebTechLab.com
📍: Bahawalpur, Islamabad, PAK
🕒: Mon-Sat, 10:00 AM to 10:00 PM.

I hope jo informations maine apko di hai us sy ap ki help hoi hogi!

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
LMS Link,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna menu select Karen.

https://lms-adeeb-technology-lab.vercel.app/

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
Phone Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pWnwn0hSRLrBB6arZiMrdpK

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Computer Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pUx-0I_xU66wpE_7SqWygc3

Umeed hai yeh info aapke kaam aayi hogi

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Internet Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
`https://www.youtube.com/playlist?list=PLOkWSy5Ba4pU9XHMLe8UIUYIE82IXt6Hz`

Umeed hai yeh info aapke kaam aayi hogi.

- Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Earning Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
`https://www.youtube.com/playlist?list=PLOkWSy5Ba4pWoEJbho8mCQJjQo0RJKaP0`

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Whatsapp Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pVeruihPqreaCywHvfkNTaQ

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Facebook Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXiXkq959ql0ObiBdCUIDcI

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Youtube Problems,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, aapke maslay se related helpful videos ke liye yeh playlist dekhein.

👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pWzshzBAkmya5xg1awbQOPa

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Free Courses,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna Menu select Karen.

🖌️ ''PhotoShop''
🎬 ''Premiere Pro''
🎨 ''Illustrator''
✨ ''After Effect''
📐 ''CorelDraw''
📝 ''Inpage''
▶️ ''Youtube''
🏗️ ''AutoCAD''
🌍 ''Website''
📄 ''Ms Word''
📊 ''Ms Excel''
📽️ ''Ms PowerPoint''
📖 ''Ms Publisher''
💬 ''Chat with Adeeb''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Regular Classes,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna Menu select Karen.

🖥️ ''Office Work (IT)
🎨 ''Graphic Designing
🎬 ''Video Editing
🏗️ ''Architecture Design
📢 ''Digital Marketing
💻 ''Development
🌍 ''Freelancing
💬 ''Chat with Adeeb

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
PhotoShop,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Photoshop* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pVDUlBhnVwaZNKvoMTOE0tS

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Premiere Pro,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Premier Pro* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pW5V-yDyC5cy803bttuStuy

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
 Illustrator,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Illustrator* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXK2ULiKOTyxn1EsDmWbe7X

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
After Effect,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *After Effect* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pUpnW7jyQpINQgqq1HtOqt8

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
CorelDraw,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Corel Draw* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXea1K_5lQMADrjiOA-s9iD

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Inpage,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Inpage* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pVDTQDuZHaTqp-UAaYQv7n8

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Youtube,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Youtube* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pWzshzBAkmya5xg1awbQOPa

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
AutoCAD,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *AutoCAD* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pVPM2RxXZZt_i56_jMU2Bze

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Website,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *Website* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
`https://www.youtube.com/playlist?list=PLOkWSy5Ba4pUIyChwAkqdJdj_bEKKqG6B`

Umeed hai yeh info aapke kaam aayi hogi.

- Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Ms Word,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *MS Word* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXXB0vHxSC0aVlCIBN5pTDI

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Ms Excel,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *MS Excel* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pUzj2L6WXEegGHoerGuX94H

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Ms PowerPoint,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *MS Power Point* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXv7LN0YdG-xCBP54eoedUn

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Ms Publisher,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, free course ke liye yeh playlist dekhein — *MS Publisher* sy related saari videos is link per hain

👇👇👇👇👇👇👇👇👇👇👇 
https://www.youtube.com/playlist?list=PLOkWSy5Ba4pXjtq64Bu4Qa_g0V9K3LJBl

Umeed hai yeh info aapke kaam aayi hogi.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Office Work (IT),"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Office Work kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Graphic Designing,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Graphic Designing kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Video Editing,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Video Editing kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
''www.pcskills.org''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
Architecture Design,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Architecture Design kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
Digital Marketing,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Digital Marketing kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
Development,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Development kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
Freelancing,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Freelancing kay courses Bahawalpur or Islamabad mai online aur offline dono hoty hain. mazed information k Liye ap diye gy link ko visit kerain

👇👇👇👇👇👇👇👇👇👇👇
www.pcskills.org

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Hardware Project,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, *IOT* based project ke liye ye info share karein:

1️⃣ Project ka main purpose kya hai?
2️⃣ Kaun kaun se components use honge?
3️⃣ Power supply ya voltage requirements kya hongi?
4️⃣ Koi size/dimensions ka restriction toh nahi hai?
5️⃣ Timeline ya deadline kya rakhni hai aap ne?
6️⃣ Final output ya result kis form mein chahiye?

👉 IoT ideas: https://www.tiktok.com/@adeebtechnologylab?lang=en

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Software Project,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, *Software* likhvane ke liye ye info share karein:

1️⃣ Project ka main idea kya hai?
2️⃣ Kis platform ke liye chahiye? (Web, app, desktop)
3️⃣ Kya specific features required hain? login, dashboard, reports, etc.
4️⃣ Design ya UI ka koi reference ya requirement hai?
5️⃣ Deadline kya hai?
6️⃣ Backend or database chahiye?

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Thesis,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, *Thesis* likhvane ke liye ye info share karein:

1️⃣ *Subject* or *topic* kya hai?
2️⃣ Key *objectives* kya hain?
3️⃣ Formate? Kitne chapters?
4️⃣ *Last date* kya hai?
5️⃣ Koi specific *source* ya *reference*?
6️⃣ Koi special instructions?
7️⃣ Language? Tone simple ya technical?
8️⃣ Aap kitni involvement chahte hain?

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Presentation,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, *Assignment* likhvane ke liye ye info share karein:

1️⃣ Topic & Subject –Topic kya hai? Kis course ka part hai?
2️⃣ Format – Essay/report/presentation? Word count, font, etc.?
3️⃣ Content – Research-based ya general? Konsay sections chahiye?
4️⃣ References – Citation style (APA/MLA)? Koi sources diye gaye?
5️⃣ Deadline – Kab tak chahiye? Draft/final version?
6️⃣ Language/Tone – Urdu/English? Formal ya informal?
7️⃣ Grading – Kya marking scheme mili hai?
8️⃣ Your Role – Kya aap khud material dena chahenge?

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Assignment,"*I am Adeeb ChatBoot*💬

Mr./Ms. {name}, presentation ke liye ye info send karein:

1️⃣ Topic kya hai?
2️⃣ Audience Type?
3️⃣ Kitni Slides? Text, visuals ya graphs focus?
4️⃣ Design – Formal, creative ya simple?
5️⃣ Key points? Koi data, charts, ya case study?
6️⃣ Slide timing?
7️⃣ Language?
8️⃣ Kya material diya gaya hai?
9️⃣ Animation, Q&A, ya engagement chahiye?
🔟 Kab tak chahiye?

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain.
"
FYP,"*I am Adeeb ChatBoot*💬

Hello!

Mr./Ms. {name}, FYP ke liye ye info send karein:

1️⃣ Aapka FYP kis topic pe hai? 🔍
2️⃣ Is project ka domain kya hai? (Web, App, AI, IoT waghera) 💻📱
3️⃣ Kitne log hain aapki team mein? 👥
4️⃣ Kya aapke paas koi specific idea ya requirement hai? ✍️
5️⃣ FYP kab tk chahiye? ⏰
6️⃣ Kya university ny kisi specific technology ka keha hai? 🏫
7️⃣ Budget kia hy? 💰
8️⃣ Documentation or development dono chahiye? 📄🛠️

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
SSD,"*I am Adeeb ChatBoot*💬

Aslamualaikum! 👋

Mr./Ms. {name}, SSD task ke liye ye info share karein:

1️⃣ Kis platform ke liye hai? (Windows, Linux, Mobile?) 💻
2️⃣ Naya design hai ya upgrade? 🔄
3️⃣ Konsay features chahiye? ⚙️
4️⃣ Koi architecture idea already hai? 🧠
5️⃣ Integration chahiye with apps/APIs? 📁
6️⃣ Security level kya hona chahiye? 🔐
7️⃣ Delivery kab tak chahiye? ⏱️

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Eportal Problem,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Agar to apko *Eportal* login karne mein koi problem a rahi hai to error ka screenshot mujhe bhej dain.

Agar ap apni details update karvana chahty hai to apky department ma ek teacher assign kiya giya hoga jo student k *Eportal* ko dekhta hai to ap usko inform karo vo apki details ko update ker sakta hai

Department mein contact karne ke liye is app ko download Karen aur contact waly button per click karen.
https://iubportals.blogspot.com


Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
My IUB Problem,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Agar to apko *MY IUB Portal* login karne mein koi problem a rahi hai uska screenshot mujhe bhej dain.

Agar apny apni details update karvani hai to vo apky department ma koi ek teacher assign Kiya gaya hota ha jo k student k *MY IUB Portal* ko dekhta hai to ap usko inform karo vo apki details ko update ker sakta hai

Department mein contact karne ke liye is app ko download Karen aur contact waly button per click Karen.
https://iubportals.blogspot.com

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
